,car-alarm,community-radio,construction-site,crowd-noise,generator,mobile-music,motorvehicle-horn,motorvehicle-siren
car-alarm,222,2,2,4,3,4,69,3
community-radio,3,277,9,8,3,18,5,1
construction-site,1,7,273,10,4,9,13,4
crowd-noise,0,20,20,237,2,6,12,1
generator,0,4,14,4,255,4,2,1
mobile-music,1,18,5,7,3,195,2,2
motorvehicle-horn,4,13,13,4,4,6,250,5
motorvehicle-siren,0,3,4,2,1,3,4,164
