variant,accuracy,macro_precision,macro_recall,macro_f1
audio_only,0.391304347826087,0.4492784992784993,0.38219103335382404,0.3737606170201107
visual_only,0.35403726708074534,0.5158661887694146,0.37005172179590784,0.30603144158646434
late_fusion_alpha_0.3,0.4472049689440994,0.5018533192035467,0.4573936957657888,0.41227026039965275
