filename,filepath,predicted_class_id,predicted_class_name,confidence,prob_crowd-noise,prob_generator,prob_motorvehicle-horn,prob_mobile-music,prob_community-radio,prob_construction-site,prob_motorvehicle-siren,prob_car-alarm
test_traffic_vid_1_chunk_0000.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0000.wav,2,motorvehicle-horn,0.44113805890083313,0.2077176570892334,0.04673196002840996,0.44113805890083313,0.012068050913512707,0.16773967444896698,0.04067244008183479,0.07092878222465515,0.013003434054553509
test_traffic_vid_1_chunk_0000.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0000.wav,2,motorvehicle-horn,0.44113805890083313,0.2077176570892334,0.04673196002840996,0.44113805890083313,0.012068050913512707,0.16773967444896698,0.04067244008183479,0.07092878222465515,0.013003434054553509
test_traffic_vid_1_chunk_0001.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0001.wav,2,motorvehicle-horn,0.710613489151001,0.023922430351376534,0.15035361051559448,0.710613489151001,0.005492844618856907,0.0074097951874136925,0.012554255314171314,0.08648689091205597,0.0031667116563767195
test_traffic_vid_1_chunk_0001.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0001.wav,2,motorvehicle-horn,0.710613489151001,0.023922430351376534,0.15035361051559448,0.710613489151001,0.005492844618856907,0.0074097951874136925,0.012554255314171314,0.08648689091205597,0.0031667116563767195
test_traffic_vid_1_chunk_0002.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0002.wav,2,motorvehicle-horn,0.4907485842704773,0.03741440549492836,0.27030158042907715,0.4907485842704773,0.008035751059651375,0.011017472483217716,0.018949873745441437,0.15529510378837585,0.008237229660153389
test_traffic_vid_1_chunk_0002.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0002.wav,2,motorvehicle-horn,0.4907485842704773,0.03741440549492836,0.27030158042907715,0.4907485842704773,0.008035751059651375,0.011017472483217716,0.018949873745441437,0.15529510378837585,0.008237229660153389
test_traffic_vid_1_chunk_0003.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0003.wav,6,motorvehicle-siren,0.3363097608089447,0.021813783794641495,0.28935158252716064,0.29753240942955017,0.01109842024743557,0.015797799453139305,0.02244304120540619,0.3363097608089447,0.005653239320963621
test_traffic_vid_1_chunk_0003.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0003.wav,6,motorvehicle-siren,0.3363097608089447,0.021813783794641495,0.28935158252716064,0.29753240942955017,0.01109842024743557,0.015797799453139305,0.02244304120540619,0.3363097608089447,0.005653239320963621
test_traffic_vid_1_chunk_0004.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0004.wav,1,generator,0.8343265056610107,0.008767121471464634,0.8343265056610107,0.05937168374657631,0.0057412018068134785,0.02000700868666172,0.027318472042679787,0.03992196545004845,0.004546040669083595
test_traffic_vid_1_chunk_0004.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0004.wav,1,generator,0.8343265056610107,0.008767121471464634,0.8343265056610107,0.05937168374657631,0.0057412018068134785,0.02000700868666172,0.027318472042679787,0.03992196545004845,0.004546040669083595
test_traffic_vid_1_chunk_0005.wav,D:\Projects\UrbanNoiseClassifier\project\pre_inference\processed_media\audio_chunks\test_traffic_vid_1_chunk_0005.wav,2,motorvehicle-horn,0.42717814445495605,0.02013523131608963,0.3813244700431824,0.42717814445495605,0.012754615396261215,0.04064534977078438,0.038842327892780304,0.07327164709568024,0.0058481949381530285
