event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations,fusion_audio_class,fusion_audio_confidence,fusion_visual_class,fusion_visual_confidence,fusion_score,fusion_alpha,fusion_mode
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0019,2026-06-04T12:03:10,residential,day,63.66,55.0,8.66,True,motorvehicle-horn,0.8997,car,0.8199,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9529,car,0.8199,0.8997,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0020,2026-06-04T12:03:20,residential,day,62.82,55.0,7.82,True,motorvehicle-horn,0.9073,car,0.8257,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9616,car,0.8257,0.9073,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0021,2026-06-04T12:03:30,residential,day,68.48,55.0,13.48,True,motorvehicle-horn,0.8678,person,0.7515,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.9661,bus,0.7204,0.8678,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0022,2026-06-04T12:03:40,residential,day,62.55,55.0,7.55,True,motorvehicle-horn,0.8786,car,0.8149,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.921,car,0.8149,0.8786,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0023,2026-06-04T12:03:50,residential,day,63.44,55.0,8.44,True,motorvehicle-horn,0.9331,car,0.884,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9659,car,0.884,0.9331,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0024,2026-06-04T12:04:00,residential,day,65.27,55.0,10.27,True,motorvehicle-horn,0.9241,car,0.8593,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.9672,car,0.8593,0.9241,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0025,2026-06-04T12:04:10,residential,day,59.91,55.0,4.91,True,motorvehicle-horn,0.9191,car,0.8764,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9475,car,0.8764,0.9191,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0026,2026-06-04T12:04:20,residential,day,55.21,55.0,0.21,True,motorvehicle-horn,0.8757,car,0.8334,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9039,car,0.8334,0.8757,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0027,2026-06-04T12:04:30,residential,day,54.55,55.0,-0.45,False,motorvehicle-horn,0.8954,car,0.8642,False,0.0,no_violation,True,compliant,0,motorvehicle-horn,0.9163,car,0.8642,0.8954,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0028,2026-06-04T12:04:40,residential,day,53.62,55.0,-1.38,False,motorvehicle-horn,0.8427,car,0.8266,False,0.0,no_violation,True,compliant,0,motorvehicle-horn,0.8535,car,0.8266,0.8427,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0029,2026-06-04T12:04:50,residential,day,54.98,55.0,-0.02,False,motorvehicle-horn,0.833,car,0.7181,False,0.0,no_violation,True,compliant,0,motorvehicle-horn,0.9096,car,0.7181,0.833,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0030,2026-06-04T12:05:00,residential,day,69.66,55.0,14.66,True,motorvehicle-horn,0.5623,person,0.821,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.5055,truck,0.6476,0.5623,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0031,2026-06-04T12:05:10,residential,day,58.47,55.0,3.47,True,motorvehicle-horn,0.8138,person,0.7967,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.8535,car,0.7542,0.8138,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0032,2026-06-04T12:05:20,residential,day,62.12,55.0,7.12,True,motorvehicle-horn,0.9143,car,0.8296,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9708,car,0.8296,0.9143,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0033,2026-06-04T12:05:30,residential,day,60.15,55.0,5.15,True,motorvehicle-horn,0.8485,car,0.6838,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9584,car,0.6838,0.8485,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0034,2026-06-04T12:05:40,residential,day,61.0,55.0,6.0,True,motorvehicle-horn,0.8466,bus,0.7554,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9074,bus,0.7554,0.8466,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0035,2026-06-04T12:05:50,residential,day,62.06,55.0,7.06,True,motorvehicle-horn,0.931,truck,0.8512,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9842,truck,0.8512,0.931,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0036,2026-06-04T12:06:00,residential,day,60.57,55.0,5.57,True,motorvehicle-horn,0.8913,motorcycle,0.8079,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9469,motorcycle,0.8079,0.8913,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0037,2026-06-04T12:06:10,residential,day,64.15,55.0,9.15,True,motorvehicle-horn,0.9173,car,0.8921,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9341,car,0.8921,0.9173,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0038,2026-06-04T12:06:20,residential,day,64.25,55.0,9.25,True,motorvehicle-horn,0.8745,car,0.7646,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9477,car,0.7646,0.8745,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0039,2026-06-04T12:06:30,residential,day,62.03,55.0,7.03,True,motorvehicle-horn,0.7661,person,0.6552,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.8899,car,0.5805,0.7661,0.6,audio_visual_late_fusion
