event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0069,2025-11-02T00:42:02.343838,residential,night,63.76,45.0,18.76,True,False,0.625,ambient_exceeded,False,severe,,0.7853,,,0.5807,0.7099,,,0.6644,0.4513,,,,,,,,,,,
test_clip_1_chunk_0069,2025-11-02T00:42:02.343838,residential,night,63.76,45.0,18.76,True,False,0.625,ambient_exceeded,False,severe,,0.7853,,,0.5807,0.7099,,,0.6644,0.4513,,,,,,,,,,,
test_clip_1_chunk_0070,2025-11-02T00:42:12.343838,residential,night,61.16,45.0,16.16,True,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,0.6927,,,,0.7604,0.4734,,,0.6523,,,,,,,,,,,,
test_clip_1_chunk_0070,2025-11-02T00:42:12.343838,residential,night,61.16,45.0,16.16,True,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,0.6927,,,,0.7604,0.4734,,,0.6523,,,,,,,,,,,,
test_clip_1_chunk_0071,2025-11-02T00:42:22.343838,residential,night,71.17,45.0,26.17,True,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,0.7526,0.7779,,,0.6196,0.7346,,0.4125,0.6657,,,,,,,,,,,,
test_clip_1_chunk_0071,2025-11-02T00:42:22.343838,residential,night,71.17,45.0,26.17,True,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,0.7526,0.7779,,,0.6196,0.7346,,0.4125,0.6657,,,,,,,,,,,,
test_clip_1_chunk_0072,2025-11-02T00:43:32.343838,residential,night,65.36,45.0,20.36,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,0.3943,0.7347,,,0.6821,0.8364,,0.589,0.6339,,,,,,,,,,,,
test_clip_1_chunk_0072,2025-11-02T00:43:32.343838,residential,night,65.36,45.0,20.36,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,0.3943,0.7347,,,0.6821,0.8364,,0.589,0.6339,,,,,,,,,,,,
test_clip_1_chunk_0073,2025-11-02T00:43:42.343838,residential,night,69.99,45.0,24.99,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,0.4967,0.7103,,,0.6303,0.7629,,0.5154,0.7071,,,,,,,,,,,,
test_clip_1_chunk_0073,2025-11-02T00:43:42.343838,residential,night,69.99,45.0,24.99,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,0.4967,0.7103,,,0.6303,0.7629,,0.5154,0.7071,,,,,,,,,,,,
