event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0000,2025-11-02T12:00:00,residential,day,54.7,55.0,-0.3,False,False,0.0,no_violation,True,compliant,0.4362,0.782,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0000,2025-11-02T12:00:00,residential,day,54.7,55.0,-0.3,False,False,0.0,no_violation,True,compliant,0.4362,0.782,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0001,2025-11-02T12:00:10,residential,day,58.84,55.0,3.84,True,False,0.1,ambient_exceeded,False,minor,0.7052,0.7964,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0001,2025-11-02T12:00:10,residential,day,58.84,55.0,3.84,True,False,0.1,ambient_exceeded,False,minor,0.7052,0.7964,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0002,2025-11-02T12:00:20,residential,day,59.94,55.0,4.94,True,False,0.0,ambient_exceeded,False,minor,0.4958,0.8028,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0002,2025-11-02T12:00:20,residential,day,59.94,55.0,4.94,True,False,0.0,ambient_exceeded,False,minor,0.4958,0.8028,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0003,2025-11-02T12:00:30,residential,day,61.33,55.0,6.33,True,False,0.0,ambient_exceeded,False,minor,,0.8248,0.3314,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0003,2025-11-02T12:00:30,residential,day,61.33,55.0,6.33,True,False,0.0,ambient_exceeded,False,minor,,0.8248,0.3314,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0004,2025-11-02T12:00:40,residential,day,64.94,55.0,9.94,True,False,0.0,ambient_exceeded,False,minor,,0.8351,,0.8378,0.553,,,,,,,,,,,,,,,,
test_clip_1_chunk_0004,2025-11-02T12:00:40,residential,day,64.94,55.0,9.94,True,False,0.0,ambient_exceeded,False,minor,,0.8351,,0.8378,0.553,,,,,,,,,,,,,,,,
test_clip_1_chunk_0005,2025-11-02T12:00:50,residential,day,58.11,55.0,3.11,True,False,0.0,ambient_exceeded,False,minor,0.421,0.8416,,,0.6891,,,,,,,,,,,,,,,,
test_clip_1_chunk_0005,2025-11-02T12:00:50,residential,day,58.11,55.0,3.11,True,False,0.0,ambient_exceeded,False,minor,0.421,0.8416,,,0.6891,,,,,,,,,,,,,,,,
test_clip_1_chunk_0006,2025-11-02T12:01:00,residential,day,67.75,55.0,12.75,True,False,0.0,ambient_exceeded,False,moderate,,0.8499,0.474,,,,,,,,,,,,,,,,,,
