epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,2.0143322588865415,0.278429129730245,0.23395825192415887,1.8866704673224315,0.39217429968875056,0.32292983484696747,0.0001
2,1.678318020318191,0.4067295777332952,0.3494019726447024,1.4400244335854726,0.49622054246331704,0.4379315264601533,0.0001
3,1.3620865478630164,0.5137737107997331,0.5035822776909398,1.2223143794898088,0.5873721654068474,0.5823978698110854,0.0001
4,1.1983168392012769,0.5856448384329426,0.5921022877504005,1.0651226825001718,0.6465095598043575,0.6586477788899288,0.0001
5,1.0663416523711151,0.6370222095129159,0.6466058435317965,0.9617755758916076,0.6767452200978212,0.6874618098025966,0.0001
6,0.9809427561449512,0.667715184443809,0.677456308589798,0.892210822282446,0.6887505558025789,0.700300896863326,0.0001
7,0.90990581497452,0.6901153369554857,0.7000999309501639,0.8464979273629433,0.7034237438861717,0.7161831170623097,0.0001
8,0.8566674777032217,0.7073682203793727,0.717839277371384,0.8216826243896704,0.7060915962650066,0.7181637798421697,0.0001
9,0.8334008106659484,0.7132780478505386,0.7231991312156005,0.782782195726465,0.7189862160960427,0.7286658885032014,0.0001
10,0.7982448482408888,0.728147936326375,0.7378088607413613,0.7646966414114484,0.7349933303690529,0.7460074156555132,0.0001
11,0.7707427440909114,0.7366313983414355,0.7464666155652657,0.74372803112728,0.7394397510004447,0.7497113569744094,0.0001
12,0.748893351342837,0.7471165761128586,0.7565027009489168,0.7433084147195913,0.7443308136949756,0.7523916824807839,0.0001
13,0.7264147839979361,0.7499761700505195,0.7588428871048994,0.7096290212570163,0.7518897287683415,0.7622213820900056,0.0001
14,0.7112391720155824,0.7566485559050615,0.7653965820057524,0.6929058485584505,0.7563361493997333,0.7654509095949349,0.0001
15,0.6894930837413692,0.7664664950910304,0.7754287707658502,0.6889364539437317,0.7576700755891508,0.7693077003673968,0.0001
16,0.6906885912086338,0.7636069011533696,0.772640411515918,0.6954296603898251,0.7523343708314807,0.7634907202033336,0.0001
17,0.6678218911037512,0.768563530645315,0.777380320283368,0.6802646656627918,0.7630057803468208,0.7739073337483113,0.0001
18,0.6584620043690763,0.7744733581164808,0.7833374555509165,0.6531461832416275,0.7701200533570476,0.7789016133688458,0.0001
19,0.6514682885564416,0.7747593175102468,0.7834397329998561,0.6598664705039873,0.7696754112939084,0.7808013652116723,0.0001
20,0.6349677356804603,0.7840053379086837,0.7929683083794404,0.6402579659671452,0.7727879057358826,0.7805839654653599,0.0001
21,0.6248729538615285,0.7887713278047851,0.7967204482972619,0.6504721278983151,0.7785682525566918,0.7856098044559259,0.0001
22,0.6187620475105625,0.7892479267943951,0.797806100779602,0.6428386860818214,0.776345042240996,0.7861547921231058,0.0001
23,0.605494466645851,0.7971594700219236,0.8055589556126488,0.6340129911740551,0.7830146731880836,0.7911005088208907,0.0001
24,0.6114982174186209,0.7925841197216662,0.8005371160660719,0.6292832269833956,0.7839039573143619,0.7919219580212732,0.0001
25,0.5907252918189911,0.7945858354780287,0.8035250661961861,0.6353531798928407,0.7803468208092486,0.789000753490022,0.0001
26,0.5854269353623681,0.7971594700219236,0.8054927067031745,0.6175375164164708,0.7914628723877278,0.798789475252726,0.0001
27,0.5766065765206687,0.8005909827471166,0.8089348459917984,0.6179001712438635,0.7901289461983103,0.7977350121906817,0.0001
28,0.5709558157292008,0.8089791249642551,0.8170249885766103,0.6120537306107962,0.7830146731880836,0.7919092364418178,0.0001
29,0.5614987658983918,0.8126012772852922,0.8206138965928393,0.6170453596454347,0.7905735882614495,0.7976758011589704,0.0001
30,0.5542221610044549,0.8145076732437327,0.8224642723503791,0.5975008206984477,0.7985771453979547,0.8070593909436174,0.0001
31,0.551422051689825,0.8096463635497093,0.8178003233522346,0.5935788037459975,0.7990217874610939,0.8069274057560417,0.0001
32,0.5425848363011936,0.8166047087980174,0.8249188986595122,0.6221833164133247,0.7821253890618053,0.791279736417202,0.0001
33,0.5337805289147682,0.8180345057668478,0.8256811287604697,0.5960858136932284,0.7999110715873722,0.8086823951589582,0.0001
34,0.5348452505620166,0.8196549423315223,0.8277127184673463,0.5999283445257778,0.7967985771453979,0.8045961502312649,0.0001
35,0.5252553751807049,0.822133257077495,0.830209667418669,0.6046031196152385,0.7959092930191196,0.8036440331539716,0.0001
36,0.5135197195739971,0.8235630540463255,0.8315046535119623,0.5874685093846624,0.8003557136505114,0.8095067905783944,0.0001
37,0.5134036326451565,0.822323896673339,0.8296771199340502,0.5842960098946344,0.7981325033348154,0.8080460325282024,0.0001
38,0.5121807782702945,0.8238490134400915,0.8312729838293744,0.5902312945503296,0.8034682080924855,0.812566818430505,0.0001
