epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,2.017913074048433,0.26927842912973027,0.22815099311674336,1.8920109456992245,0.4028457092040907,0.3372021873194602,0.0001
2,1.6915181086977198,0.39948527309122106,0.34438569635801786,1.4411875302656962,0.5020008892841262,0.44074319470469203,0.0001
3,1.379174508490311,0.5047183299971404,0.49469480722368203,1.2350686865416884,0.568252556691863,0.5556501390578967,0.0001
4,1.2164773279372234,0.5735392240968449,0.5784442809481372,1.0737975713357548,0.6527345486883059,0.6623133929653795,0.0001
5,1.1001366776456916,0.6237727576017539,0.6330887496110207,0.9718703578291282,0.6620720320142286,0.6742149544445497,0.0001
6,1.0071621648736455,0.6617100371747212,0.6716485314981383,0.9062936796830356,0.6847487772343264,0.6963526146173795,0.0001
7,0.9409384651686782,0.6760080068630254,0.6864538056054407,0.8556272101010042,0.7020898176967542,0.7139846118537813,0.0001
8,0.8987505511450774,0.6903059765513297,0.700207733173176,0.8166365453061553,0.714539795464651,0.7259656011927478,0.0001
9,0.8625927866329036,0.7032694690687256,0.7125846898842951,0.7998801676789196,0.717207647843486,0.7292773463438447,0.0001
10,0.8282971467931804,0.7138499666380708,0.7241723622719507,0.7605454605544817,0.7345486883059137,0.7458093971771791,0.0001
11,0.8200910206109686,0.7144218854256029,0.7241874052552932,0.7677357959291468,0.7229879946642952,0.7318535741578179,0.0001
12,0.7939919919477224,0.7257649413783243,0.7357999686995434,0.7422857331720761,0.7465540240106714,0.7533589678464032,0.0001
13,0.7617183943890649,0.7389190734915642,0.7480256860790873,0.717297853337971,0.7438861716318363,0.7546849701803425,0.0001
14,0.7529112979643293,0.7432084643980554,0.7520602114038049,0.7046682974824697,0.7510004446420632,0.7606810771839629,0.0001
15,0.7358375114192841,0.7477838146983128,0.7569654207595738,0.7039069272826226,0.7483325922632281,0.7578425666696076,0.0001
16,0.7381664319779714,0.7412067486416929,0.7506680315548707,0.7036204348939851,0.7385504668741663,0.749740212651997,0.0001
