epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,1.8937610030321974,0.3392431608044991,0.3374657924185802,1.5447322519793412,0.45798132503334815,0.43775380865517416,0.0001
2,1.3289744907834034,0.5377942998760843,0.5426920604495954,1.0603362540766206,0.6336149399733215,0.6374125383947095,0.0001
3,1.015704550713332,0.6466495091030408,0.6561639731916118,0.8831443429894318,0.6847487772343264,0.6930936861910858,0.0001
4,0.8846364926989614,0.6867791440282146,0.6965813301356307,0.8165202406365483,0.7038683859493108,0.712979539532856,0.0001
5,0.8085537483291965,0.7201410733009246,0.7293810528356504,0.7459129231566586,0.737661182747888,0.748034575218754,0.0001
6,0.7734802753633748,0.7290058145076732,0.7390403923213196,0.7269518085191811,0.750555802578924,0.7606690448593407,0.0001
7,0.7167760191126463,0.7512153274235058,0.760432124440507,0.6771804383194356,0.7638950644730992,0.7744115664575768,0.0001
8,0.6859771095243972,0.7637975407492136,0.7731946310193412,0.657674542476252,0.7767896843041352,0.7867221973226906,0.0001
9,0.6521661159603831,0.775140596701935,0.783869168108712,0.6284695491625395,0.7781236104935527,0.7892338167872183,0.0001
10,0.6344026613083209,0.7829568201315413,0.7921345961523444,0.6232923664957642,0.7870164517563362,0.7970120852524579,0.0001
11,0.6071978668366155,0.7927747593175103,0.8015908836147656,0.5918317561204722,0.7954646509559804,0.8042173430408133,0.0001
12,0.5932013204135018,0.7940139166904966,0.8028660329979416,0.5796265152095423,0.7967985771453979,0.8058990221035913,0.0001
13,0.5688396759772253,0.8064054904203604,0.8152723144588996,0.6216289570141814,0.7887950200088928,0.7983145192548529,0.0001
14,0.5574614793053688,0.8094557239538652,0.8178326299110061,0.591993493310819,0.789239662072032,0.7974263166516896,0.0001
15,0.539146765559477,0.8165093890000953,0.8247640451451832,0.5676880674714139,0.8056914184081814,0.8158044434131022,0.0001
16,0.5264080920752119,0.8207034601086646,0.8287250528074774,0.5540806510518423,0.8056914184081814,0.815273486822435,0.0001
17,0.5171271965735725,0.8241349728338576,0.8325257357325244,0.5678903392920658,0.8048021342819031,0.8148017819198287,0.0001
18,0.5113851787784672,0.82566008960061,0.8335868610905952,0.5695543097569816,0.8061360604713206,0.8150274028040967,0.0001
19,0.5018379812432181,0.8309979982842436,0.8386332312006641,0.555532841244609,0.8065807025344598,0.8161741661384461,0.0001
20,0.4807002268310453,0.8364312267657993,0.844654754416173,0.5590957621565497,0.7976878612716763,0.8065761536109463,0.0001
21,0.4694233192051915,0.8360499475741111,0.8441154310054668,0.5333723164680747,0.8065807025344598,0.8148279788570532,0.0001
22,0.4771863156728096,0.8342388714135927,0.8417832081526884,0.539297078584978,0.8176967541129391,0.8246302725629961,0.0001
23,0.46017405385626087,0.8441521303974836,0.8519072197643325,0.5527168425680425,0.8043574922187638,0.814416159583115,0.0001
24,0.4458547168857046,0.8482508817081308,0.8554063041284046,0.5253323191613715,0.8257003112494442,0.8336801311994055,0.0001
25,0.44671556354989406,0.8463444857496902,0.853829349225836,0.5411722882687648,0.812361049355269,0.8206679181419794,0.0001
26,0.43637724776545717,0.8495853588790392,0.8573763501749208,0.5355109813055392,0.8190306803023566,0.827000808439462,0.0001
27,0.42556112263248347,0.8542560289772185,0.8616050281641933,0.5373912155230663,0.8185860382392174,0.827136610402208,0.0001
28,0.41863168733282,0.8585454198837098,0.8655002177689926,0.5226596558608178,0.8239217429968875,0.8322410521981445,0.0001
29,0.41478092254441046,0.8528262320083881,0.8600023749505878,0.5328108175906566,0.8145842596709649,0.8248203439852619,5e-05
