epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,1.7608773408928313,0.38642646077590315,0.37073972341256256,1.356720934501485,0.5575811471765229,0.55130099707311,0.0001
2,1.1588788770843013,0.5975598131731961,0.6044710851232611,0.9513223589182218,0.6638506002667852,0.6759172794992401,0.0001
3,0.906084958965655,0.684586788676008,0.6954367934200809,0.8390085324810684,0.6994219653179191,0.7174205451745449,0.0001
4,0.7921509724612823,0.7228100276427414,0.7324383806820473,0.7220371710877781,0.7478879502000889,0.7583813914218102,0.0001
5,0.7346935948599693,0.7455914593461062,0.7546429750507494,0.6880650169428533,0.7563361493997333,0.7685285798232053,0.0001
6,0.6752085734477273,0.7653226575159661,0.7747285082599449,0.6410437699634268,0.7825700311249444,0.7931327922033924,0.0001
7,0.6380518011535025,0.7825755409398532,0.790860614449766,0.6104842565652263,0.7834593152512228,0.7930163109353395,0.0001
8,0.6015680248011693,0.7930607187112764,0.8019408623729436,0.6092442677200185,0.7941307247665629,0.8025187243489454,0.0001
9,0.5797159460999697,0.8033552568868554,0.8112650937873827,0.5859762739477925,0.8016896398399288,0.8111566837381046,0.0001
10,0.5555977355125986,0.8096463635497093,0.8179432542525333,0.5626628185415755,0.7985771453979547,0.8073502060922753,0.0001
11,0.5362781598835902,0.8163187494042513,0.8244944015376414,0.5707796201169517,0.8008003557136505,0.809685436137664,0.0001
12,0.5155499279527461,0.8232770946525594,0.8314905341095852,0.5527987595317946,0.8119164072921299,0.820005372371968,0.0001
13,0.49836214089425435,0.82566008960061,0.8334644739808725,0.5333062030040406,0.8172521120497999,0.8256683628088324,0.0001
14,0.4862931224663734,0.8292822419216471,0.8376578516668823,0.5317427913922106,0.8216985326811916,0.8316909960507344,0.0001
15,0.472844865799132,0.8368125059574874,0.844429147011786,0.5563658042158641,0.8083592707870164,0.8182858403864417,0.0001
16,0.44899184569629813,0.8413878562577447,0.848986736346308,0.5281176650163703,0.8141396176078257,0.8222947119841755,0.0001
17,0.4353421491352122,0.8499666380707273,0.8572812144158796,0.5339422801989033,0.8163628279235216,0.8259164926609204,0.0001
18,0.4280148330657251,0.8531121914021542,0.8606880972373196,0.5132012275151541,0.8314806580702534,0.8400340441042862,0.0001
19,0.41680883071281905,0.8519683538270899,0.8593934856964276,0.5186700732271212,0.8199199644286349,0.8292501496177298,0.0001
20,0.4106608719562577,0.8536841101896864,0.8612665251954521,0.5408590106685303,0.8172521120497999,0.8246717823608198,0.0001
21,0.40251814996636004,0.8609284148317605,0.8678203422106486,0.5300260858172149,0.8216985326811916,0.8303782118925598,0.0001
22,0.3862770858318673,0.86559908492994,0.8722080945343846,0.5321832230590406,0.8248110271231659,0.8339652150843079,0.0001
23,0.37824972067498785,0.869030597655133,0.875838472161933,0.5220238643919113,0.8221431747443309,0.8319638286861092,5e-05
24,0.3338978264479764,0.8839004861309694,0.8903833146763165,0.5021622275288448,0.8341485104490884,0.8434060668772536,5e-05
25,0.3320259176455307,0.8849490039081117,0.8913225656183237,0.5010636879529567,0.8337038683859493,0.841573006950264,5e-05
26,0.3191612099012648,0.8870460394623964,0.8930100464076773,0.4877271261438893,0.840373499333037,0.8486871569489265,5e-05
27,0.32250188889761194,0.8861881612810981,0.8922202915469855,0.5005516002526968,0.8394842152067585,0.8482149203361508,5e-05
28,0.32871923461370367,0.8854256028977219,0.8915958675520612,0.5009228599474345,0.8341485104490884,0.8424085067291549,5e-05
29,0.30265347348667626,0.8917167095605757,0.8977798107425341,0.5011518365968964,0.8425967096487328,0.8503380668673073,5e-05
30,0.2994436624165816,0.8956248212753789,0.9011098904676607,0.5138783040392287,0.8337038683859493,0.8410824894745849,5e-05
31,0.2936335356733658,0.8998188923839482,0.9052415231281009,0.5083984262734427,0.8359270787016452,0.8431285354636895,5e-05
32,0.28596873223332747,0.8984844152130398,0.9038241464888005,0.5306041549051428,0.8332592263228101,0.8411561071769416,5e-05
33,0.2886707359047298,0.9012486893527786,0.9066688584689084,0.537090045908071,0.8274788795020009,0.8359593621660015,5e-05
34,0.27219657952037124,0.9002954913735582,0.9060121085237944,0.5230537601421547,0.8341485104490884,0.8441978638718765,2.5e-05
35,0.2536249701872918,0.9104947097512154,0.9158565902087625,0.520268316531828,0.8274788795020009,0.8363538525352572,2.5e-05
36,0.25553639690331265,0.9117338671242017,0.916666831475408,0.5215897829519902,0.8363717207647844,0.8445293304045087,2.5e-05
37,0.24148047980254536,0.9158326184348489,0.9201433874522102,0.509338327835485,0.838150289017341,0.8457861712458675,2.5e-05
38,0.2451043851015259,0.9131636640930321,0.9180457052298359,0.5287316557352889,0.8310360160071143,0.8382464246915378,2.5e-05
39,0.2410097580831688,0.9175483747974454,0.9223812954889705,0.5363517980699595,0.8332592263228101,0.8418665958954807,1.25e-05
40,0.23102175123572702,0.9205986083309503,0.9253619951570246,0.520185891576956,0.8372610048910627,0.8446667809180459,1.25e-05
41,0.22621549050763182,0.9207892479267944,0.9253605559264171,0.5280322438613634,0.8390395731436194,0.8468993381236751,1.25e-05
