bin_lower,bin_upper,count,mean_confidence,accuracy,ece_contribution
0.0,0.1,0,,,0.0
0.1,0.2,0,,,0.0
0.2,0.30000000000000004,6,0.26879762333333335,0.3333333333333333,0.00017217174744330805
0.30000000000000004,0.4,43,0.35278490348837205,0.3023255813953488,0.0009647624944419737
0.4,0.5,75,0.4577201962666666,0.38666666666666666,0.0023695040995998203
0.5,0.6000000000000001,118,0.5500325747457627,0.5,0.002625097296576257
0.6000000000000001,0.7000000000000001,129,0.6515558694573643,0.5271317829457365,0.007136819546465092
0.7000000000000001,0.8,139,0.7493598373381295,0.6762589928057554,0.004518015735882614
0.8,0.9,195,0.8535768476923076,0.6923076923076923,0.013982874744330805
0.9,1.0,1544,0.9872375742746113,0.9540155440414507,0.022807832227656734
