,car-alarm,community-radio,construction-site,crowd-noise,generator,mobile-music,motorvehicle-horn,motorvehicle-siren
car-alarm,228,6,2,3,1,1,66,2
community-radio,1,264,8,22,3,20,6,0
construction-site,2,12,264,13,4,7,14,5
crowd-noise,1,29,20,232,3,1,11,1
generator,1,9,8,7,246,4,7,2
mobile-music,0,16,7,10,2,195,2,1
motorvehicle-horn,10,15,12,8,6,6,238,4
motorvehicle-siren,0,4,5,0,1,4,4,163
