variant,accuracy,macro_precision,macro_recall,macro_f1
audio_only,0.3415492957746479,0.33923829357755586,0.3392487240756313,0.3190424250452681
visual_only,0.37183098591549296,0.438670592369113,0.3828919287203013,0.30819939233894883
late_fusion_alpha_0.5,0.4211267605633803,0.43228605323532404,0.4258459676904589,0.40074374583641004
